Pocket Name   ,             shelf         ,             column        ,             pocket        ,             diameter      ,             CurrentTool   ,             Status        ,             WorkPiece     ,             programNumber
101           ,              1            ,              1            ,              0            ,              0            ,              1            ,              1            ,              0 ,           0 
102           ,              1            ,              2            ,              0            ,              0            ,              1            ,              1            ,              0 ,           0 
103           ,              1            ,              3            ,              0            ,              0            ,              1            ,              1            ,              0 ,           0 
104           ,              1            ,              4            ,              0            ,              0            ,              1            ,              1            ,              0 ,           0 
105           ,              1            ,              5            ,              0            ,              0            ,              1            ,              1            ,              0 ,           0 
106           ,              1            ,              6            ,              0            ,              0            ,              1            ,              1            ,              0 ,           0 
107           ,              1            ,              7            ,              0            ,              0            ,              1            ,              1            ,              0 ,           0 
108           ,              1            ,              8            ,              0            ,              0            ,              1            ,              1            ,              0 ,           0 
109           ,              1            ,              9            ,              0            ,              0            ,              1            ,              1            ,              0 ,           0 
110           ,              1            ,              10           ,              0            ,              0            ,              1            ,              1            ,              0 ,           0 
111           ,              1            ,              9            ,              0            ,              0            ,              1            ,              1            ,              0 ,           0 
112           ,              1            ,              10           ,              0            ,              0            ,              1            ,              1            ,              0 ,           0 
201           ,              1            ,              1            ,              0            ,              0            ,              1            ,              1            ,              0 ,           0 
202           ,              1            ,              2            ,              0            ,              0            ,              1            ,              1            ,              0 ,           0 
203           ,              1            ,              3            ,              0            ,              0            ,              1            ,              1            ,              0 ,           0 
204           ,              1            ,              4            ,              0            ,              0            ,              1            ,              1            ,              0 ,           0 
205           ,              1            ,              5            ,              0            ,              0            ,              1            ,              1            ,              0 ,           0 
206           ,              1            ,              6            ,              0            ,              0            ,              1            ,              1            ,              0 ,           0 
207           ,              1            ,              7            ,              0            ,              0            ,              1            ,              1            ,              0 ,           0 
208           ,              1            ,              8            ,              0            ,              0            ,              1            ,              1            ,              0 ,           0 
209           ,              1            ,              9            ,              0            ,              0            ,              1            ,              1            ,              0 ,           0 
210           ,              1            ,              10           ,              0            ,              0            ,              1            ,              1            ,              0 ,           0 
211           ,              1            ,              9            ,              0            ,              0            ,              1            ,              1            ,              0 ,           0 
212           ,              1            ,              10           ,              0            ,              0            ,              1            ,              1            ,              0 ,           0 
301           ,              1            ,              1            ,              0            ,              0            ,              1            ,              1            ,              0 ,           0 
302           ,              1            ,              2            ,              0            ,              0            ,              1            ,              1            ,              0 ,           0 
303           ,              1            ,              3            ,              0            ,              0            ,              1            ,              1            ,              0 ,           0 
304           ,              1            ,              4            ,              0            ,              0            ,              1            ,              1            ,              0 ,           0 
305           ,              1            ,              5            ,              0            ,              0            ,              1            ,              1            ,              0 ,           0 
306           ,              1            ,              6            ,              0            ,              0            ,              1            ,              1            ,              0 ,           0 
307           ,              1            ,              7            ,              0            ,              0            ,              1            ,              1            ,              0 ,           0 
308           ,              1            ,              8            ,              0            ,              0            ,              1            ,              1            ,              0 ,           0 
309           ,              1            ,              9            ,              0            ,              0            ,              1            ,              1            ,              0 ,           0 
310           ,              1            ,              10           ,              0            ,              0            ,              1            ,              1            ,              0 ,           0 
311           ,              1            ,              9            ,              0            ,              0            ,              1            ,              1            ,              0 ,           0 
312           ,              1            ,              10           ,              0            ,              0            ,              1            ,              1            ,              0 ,           0
