General Location            ,             x             ,             y             ,             z             ,             Rx            ,             Ry            ,             Rz
1,             0 ,           0 ,           9 ,           10 ,          0 ,           0 
2,             0 ,           0 ,           0 ,           0 ,           0 ,           0 
3,             0 ,           0 ,           0 ,           0 ,           0 ,           0 
4,             0 ,           0 ,           0 ,           0 ,           0 ,           0 
5,             0 ,           0 ,           0 ,           0 ,           0 ,           0 
6,             0 ,           0 ,           0 ,           1 ,           0 ,           0 
7,             0 ,           0 ,           0 ,           2 ,           0 ,           0 
8,             0 ,           0 ,           0 ,           3 ,           0 ,           0 
9,             0 ,           0 ,           0 ,           4 ,           0 ,           0 
10,            0 ,           0 ,           0 ,           5 ,           0 ,           0 
11,            1219.661 ,   -516.318 ,     390.91 ,     -0.2839 ,      0.0187 ,      155.132 
12,           -1036.734 ,    1059.794 ,    386.866 ,    -0.0352 ,     -0.0981 ,      40.6679 
13,            0 ,           0 ,           0 ,           8 ,           0 ,           0 
14,            0 ,           0 ,           0 ,           9 ,           0 ,           0 
15,            0 ,           0 ,           0 ,           10 ,          0 ,           0 
16,            0 ,           0 ,           0 ,           11 ,          1200.792 ,   -504.328 
17,           -89.667 ,     -0.252 ,      -112.704 ,     12 ,         -1013.886 ,    1043.874 
18,           -90.0124 ,    -0.2743 ,      95.7495 ,     13 ,          0 ,           0 
19,            0 ,           0 ,           0 ,           14 ,         -47052 ,      -87813 
20,            115323 ,      140776 ,      0 ,           15 ,         -47052 ,      -87813 
21,            825.958 ,    -828.145 ,     915.083 ,    -0.3415 ,      0.2996 ,      135.0222 
22,           -649.699 ,    -973.762 ,     915.202 ,    -0.3406 ,      0.3691 ,      56.3767 
23,            827.666 ,    -829.968 ,     419.668 ,    -0.3418 ,      0.195 ,       135.0051 
24,           -650.062 ,    -976.049 ,     419.353 ,    -0.3375 ,      0.2276 ,      56.419 
25,            830.476 ,    -830.719 ,    -84.422 ,      0.1492 ,      0.3403 ,      135.0623 
26,           -650.153 ,    -977.577 ,    -84.327 ,     -0.4695 ,      0.4352 ,      56.4457 
27,           -179.2316 ,   -89.2978 ,    -45.905 ,      22 ,         -639.26 ,     -953.533 
28,            10.4422 ,    -88.3786 ,     51.44 ,       23 ,          621.403 ,    -839.722 
29,           -65.7337 ,    -89.6908 ,    -167.989 ,     24 ,         -695.47 ,     -777.742 
30,           -66.0589 ,    -89.6907 ,     114.0303 ,    25 ,          736.117 ,    -878.976 
31,           -179.7169 ,   -89.4426 ,    -45.1813 ,     26 ,         -637.41 ,     -950.898 
32,           -179.5352 ,   -89.2968 ,    -119.1465 ,    27 ,         -1013.886 ,    1043.874 
33,           -90.0124 ,    -0.2743 ,      95.7495 ,     28 ,          0 ,           0 
34,            0 ,           0 ,           0 ,           29 ,          0 ,           0 
35,            0 ,           0 ,           0 ,           30 ,         -1013.886 ,    1043.874 
36,           -90.0124 ,    -0.2743 ,      95.7495 ,     31 ,         -878.635 ,     1040.713 
37,           -90.0124 ,    -0.2743 ,      95.7495 ,     32 ,          0 ,           0 
38,            0 ,           0 ,           0 ,           33 ,         -1013.886 ,    1043.874 
39,           -90.0124 ,    -0.2743 ,      95.7495 ,     34 ,         -945.969 ,     1042.286 
40,           -90.0124 ,    -0.2743 ,      95.7495 ,     35 ,          0 ,           0 
