Pocket Name   ,             x             ,             y             ,             z             ,             Rx            ,             Ry            ,             Rz            ,             Distance      ,             Alfa
              ,              723.388      ,             -866.914      ,              884.713      ,              0.0486       ,             -0.1211       ,              129.8143     ,              1129.083735575             ,              50.1570280033994 
              ,              592.307480969996           ,             -961.052456212976           ,              884.743444444444           ,              6.95666666666667E-02       ,             -0.106055555555556          ,              121.765209796366           ,              1128.9153978957            ,              58.3540151036937 
              ,              449.071      ,             -1035.618     ,              885.044      ,              0.0938       ,              0.1881       ,              113.3798     ,              1128.7691924208            ,              66.5521472616273 
              ,              296.828      ,             -1088.976     ,              884.409      ,             -0.1402       ,             -0.0802       ,              105.207      ,              1128.64811033237           ,              74.7512528255892 
              ,              138.491719877157           ,             -1120.02481924719           ,              884.834777777778           ,              0.132466666666667          ,             -6.09222222222222E-02       ,              97.1401260573254           ,              1128.55462969421           ,              82.951140033277 
              ,             -22.747       ,             -1128.218     ,              883.712      ,             -0.0023       ,              0.0716       ,              88.7966      ,              1128.49066422185           ,              91.1516009531171 
              ,             -183.29       ,             -1112.251     ,              884.164      ,             -0.0385       ,              0.9744       ,              80.6679      ,              1128.45752367524           ,              99.3524157740119 
              ,             -340.346      ,             -1075.908     ,              884.163      ,              0.1565       ,              0.1008       ,              72.4172      ,              1128.45588672884           ,              107.553357351953 
              ,             -490.349      ,             -1016.39      ,              884.5        ,              0.2163       ,             -0.0041       ,              64.2258      ,              1128.48578690666           ,              115.754195915589 
              ,             -630.335      ,             -936.106      ,              884.987      ,              0.2373       ,              0.0143       ,              56.0098      ,              1128.54625756369           ,              123.954679877808 
              ,              724.004      ,             -868.281      ,              384.392      ,              0.4345       ,             -0.0806       ,              129.8226     ,              1130.52805669607           ,              50.1774447105514 
              ,              592.810595954374           ,             -962.569016301811           ,              384.457444444444           ,              0.4407       ,             -6.72222222222222E-02       ,              121.668095598034           ,              1130.47048339177           ,              58.3726354817878 
              ,              449.298      ,             -1037.59      ,              384.187      ,              0.4322       ,             -0.0628       ,              113.459      ,              1130.40329490256           ,              66.5682790731801 
              ,              297.03694929235            ,             -1090.600810945             ,              384.588333333333           ,              0.4531       ,             -4.04666666666667E-02       ,              105.28212252737            ,              1130.32786309053           ,              74.7644403937788 
              ,              138.502807205936           ,             -1121.72740851256           ,              384.653777777778           ,              0.4593       ,             -2.70888888888889E-02       ,              97.0874740632192           ,              1130.24572842026           ,              82.9611738141884 
              ,             -22.885       ,             -1129.934     ,              384.131      ,              0.1986       ,             -0.0148       ,              88.8904      ,              1130.15856859003           ,              91.1585220506106 
              ,             -183.899      ,             -1114.794     ,              384.454      ,              0.1086       ,              0.3268       ,              80.6865      ,              1130.06816434026           ,              99.3565152838478 
              ,             -340.853      ,             -1077.332     ,              383.741      ,              0.4724       ,              0.0074       ,              72.4946      ,              1129.97636312958           ,              107.555170531907 
              ,             -490.966      ,             -1017.633     ,              384.348      ,              0.4833       ,              0.0252       ,              64.2943      ,              1129.8850414149            ,              115.754491289875 
              ,             -631.029      ,             -937.145      ,              384.981      ,              0.4903       ,              0.0398       ,              56.0456      ,              1129.79571156294           ,              123.954443487022 
              ,              724.025      ,             -869.946      ,             -115.662      ,             -0.0195       ,             -0.1454       ,              129.7686     ,              1131.8207647596            ,              50.230606507744 
              ,              592.602854980062           ,             -964.161654102914           ,             -115.643111111111           ,              2.67444444444444E-02       ,             -9.41555555555555E-02       ,              121.6487001374             ,              1131.71809165224           ,              58.4238730329747 
              ,              449.078506297192           ,             -1038.65414375682           ,             -115.624222222222           ,              7.29888888888889E-02       ,             -4.29111111111111E-02       ,              113.466545319406           ,              1131.58028224309           ,              66.6180102856894 
              ,              296.391046854037           ,             -1091.89801108889           ,             -115.605333333333           ,              0.119233333333333          ,              8.33333333333335E-03       ,              105.282159702398           ,              1131.41014635503           ,              74.8132629379107 
              ,              137.667211817776           ,             -1122.80292770522           ,             -115.586444444444           ,              0.165477777777778          ,              5.95777777777778E-02       ,              97.0950988684648           ,              1131.21115432668           ,              83.0098531985953 
              ,             -23.8433897282643           ,             -1130.73602244549           ,             -115.567555555556           ,              0.211722222222222          ,              0.110822222222222          ,              88.9049723728923           ,              1130.98736705934           ,              91.2079762900982 
              ,             -184.831869357212           ,             -1115.53484132429           ,             -115.548666666667           ,              0.257966666666667          ,              0.162066666666667          ,              80.7114517515578           ,              1130.74335400054           ,              99.4077964444826 
              ,             -341.856      ,             -1078.261     ,             -116.779      ,             -0.2028       ,              0.0077       ,              72.505       ,              1130.48410065102           ,              107.609443502058 
              ,             -492.135957612447           ,             -1017.44218050336           ,             -115.510888888889           ,              0.350455555555556          ,              0.264555555555556          ,              64.3132636457623           ,              1130.21490740137           ,              115.813010184816 
              ,             -632.158      ,             -936.559      ,             -115.492      ,              0.3967       ,              0.3158       ,              55.9839      ,              1129.9409265289            ,              124.018526145722 
