Pocket Name   ,             shelf         ,             column        ,             pocket        ,             diameter      ,             CurrentTool   ,             Status        ,             WorkPiece     ,             programNumber
101           ,              1            ,              1            ,              0            ,              200          ,              1            ,              6            ,              1 ,           6023 
102           ,              1            ,              2            ,              0            ,              200          ,              1            ,              1            ,              1 ,           6023 
103           ,              1            ,              3            ,              0            ,              200          ,              1            ,              6            ,              1 ,           6023 
104           ,              1            ,              4            ,              0            ,              200          ,              1            ,              1            ,              1 ,           6023 
105           ,              1            ,              5            ,              0            ,              200          ,              1            ,              6            ,              1 ,           6023 
106           ,              1            ,              6            ,              0            ,              200          ,              1            ,              1            ,              1 ,           6023 
107           ,              1            ,              7            ,              0            ,              200          ,              1            ,              6            ,              1 ,           6023 
108           ,              1            ,              8            ,              0            ,              200          ,              1            ,              1            ,              1 ,           6023 
109           ,              1            ,              9            ,              0            ,              200          ,              1            ,              6            ,              1 ,           6023 
1010          ,              1            ,              10           ,              0            ,              200          ,              1            ,              1            ,              1 ,           6023 
201           ,              2            ,              1            ,              0            ,              200          ,              1            ,              6            ,              1 ,           6023 
202           ,              2            ,              2            ,              0            ,              200          ,              1            ,              1            ,              1 ,           6023 
203           ,              2            ,              3            ,              0            ,              200          ,              1            ,              6            ,              1 ,           6023 
204           ,              2            ,              4            ,              0            ,              200          ,              1            ,              1            ,              1 ,           6023 
205           ,              2            ,              5            ,              0            ,              200          ,              1            ,              6            ,              1 ,           6023 
206           ,              2            ,              6            ,              0            ,              200          ,              1            ,              1            ,              1 ,           6023 
207           ,              2            ,              7            ,              0            ,              200          ,              1            ,              6            ,              1 ,           6023 
208           ,              2            ,              8            ,              0            ,              200          ,              1            ,              1            ,              1 ,           6023 
209           ,              2            ,              9            ,              0            ,              200          ,              1            ,              6            ,              1 ,           6023 
2010          ,              2            ,              10           ,              0            ,              200          ,              1            ,              1            ,              1 ,           6023 
301           ,              3            ,              1            ,              0            ,              200          ,              1            ,              6            ,              1 ,           6023 
302           ,              3            ,              2            ,              0            ,              200          ,              1            ,              1            ,              1 ,           6023 
303           ,              3            ,              3            ,              0            ,              200          ,              1            ,              6            ,              1 ,           6023 
304           ,              3            ,              4            ,              0            ,              200          ,              1            ,              1            ,              1 ,           6023 
305           ,              3            ,              5            ,              0            ,              200          ,              1            ,              6            ,              1 ,           6023 
306           ,              3            ,              6            ,              0            ,              200          ,              1            ,              1            ,              1 ,           6023 
307           ,              3            ,              7            ,              0            ,              200          ,              1            ,              6            ,              1 ,           6023 
308           ,              3            ,              8            ,              0            ,              200          ,              1            ,              1            ,              1 ,           6023 
309           ,              3            ,              9            ,              0            ,              200          ,              1            ,              6            ,              1 ,           6023 
3010          ,              3            ,              10           ,              0            ,              200          ,              1            ,              1            ,              1 ,           6023 
