Pocket Name   ,             shelf         ,             column        ,             pocket        ,             diameter      ,             CurrentTool   ,             Status        ,             WorkPiece     ,             programNumber
101           ,              1            ,              1            ,              1            ,              0            ,              3            ,              1            ,              0 ,           0 
102           ,              1            ,              2            ,              1            ,              0            ,              3            ,              1            ,              0 ,           0 
103           ,              1            ,              3            ,              1            ,              0            ,              3            ,              1            ,              0 ,           0 
104           ,              1            ,              4            ,              1            ,              0            ,              3            ,              1            ,              0 ,           0 
105           ,              1            ,              5            ,              1            ,              0            ,              3            ,              1            ,              0 ,           0 
106           ,              1            ,              6            ,              1            ,              0            ,              3            ,              1            ,              0 ,           0 
107           ,              1            ,              7            ,              1            ,              0            ,              3            ,              1            ,              0 ,           0 
108           ,              1            ,              8            ,              1            ,              0            ,              3            ,              1            ,              0 ,           0 
109           ,              1            ,              9            ,              1            ,              0            ,              3            ,              1            ,              0 ,           0 
1010          ,              1            ,              10           ,              1            ,              0            ,              3            ,              1            ,              0 ,           0 
1011          ,              1            ,              11           ,              1            ,              0            ,              3            ,              1            ,              0 ,           0 
1012          ,              1            ,              12           ,              1            ,              0            ,              3            ,              1            ,              0 ,           0 
201           ,              2            ,              1            ,              1            ,              0            ,              3            ,              1            ,              0 ,           0 
202           ,              2            ,              2            ,              1            ,              0            ,              3            ,              1            ,              0 ,           0 
203           ,              2            ,              3            ,              1            ,              0            ,              3            ,              1            ,              0 ,           0 
204           ,              2            ,              4            ,              1            ,              0            ,              3            ,              1            ,              0 ,           0 
205           ,              2            ,              5            ,              1            ,              0            ,              3            ,              1            ,              0 ,           0 
206           ,              2            ,              6            ,              1            ,              0            ,              3            ,              1            ,              0 ,           0 
207           ,              2            ,              7            ,              1            ,              0            ,              3            ,              1            ,              0 ,           0 
208           ,              2            ,              8            ,              1            ,              0            ,              3            ,              1            ,              0 ,           0 
209           ,              2            ,              9            ,              1            ,              0            ,              3            ,              1            ,              0 ,           0 
2010          ,              2            ,              10           ,              1            ,              0            ,              3            ,              1            ,              0 ,           0 
2011          ,              2            ,              11           ,              1            ,              0            ,              3            ,              1            ,              0 ,           0 
2012          ,              2            ,              12           ,              1            ,              0            ,              3            ,              1            ,              0 ,           0 
301           ,              3            ,              1            ,              1            ,              0            ,              3            ,              1            ,              0 ,           0 
302           ,              3            ,              2            ,              1            ,              0            ,              3            ,              1            ,              0 ,           0 
303           ,              3            ,              3            ,              1            ,              0            ,              3            ,              1            ,              0 ,           0 
304           ,              3            ,              4            ,              1            ,              0            ,              3            ,              1            ,              0 ,           0 
305           ,              3            ,              5            ,              1            ,              0            ,              3            ,              1            ,              0 ,           0 
306           ,              3            ,              6            ,              1            ,              0            ,              3            ,              1            ,              0 ,           0 
307           ,              3            ,              7            ,              1            ,              0            ,              3            ,              1            ,              0 ,           0 
308           ,              3            ,              8            ,              1            ,              0            ,              3            ,              1            ,              0 ,           0 
309           ,              3            ,              9            ,              1            ,              0            ,              3            ,              1            ,              0 ,           0 
3010          ,              3            ,              10           ,              1            ,              0            ,              3            ,              1            ,              0 ,           0 
3011          ,              3            ,              11           ,              1            ,              0            ,              3            ,              1            ,              0 ,           0 
3012          ,              3            ,              12           ,              1            ,              0            ,              3            ,              1            ,              0 ,           0 
