,X,Y,Z,w,p,r
1-1번,753.009,-911.299,472.5,0,0,-50.367
1-2번,741.357,-897.232,472.5,0,0,-50.367
1-3번,727.608,-880.632,472.5,0,0,-50.366
1-1번 센서,730.375,-713.375,434,0,0,-53.74
1-4번,712.109,-861.922,472.5,0,0,-50.366
1-5번,698.759,-954.968,472.5,0,0,-53.74
1-6번,684.43,-935.433,472.5,0,0,-53.74
1-7번,668.993,-914.304,472.5,0,0,-53.74
1-2번 센서,685.752,-756.371,434,0,0,-47.726
2-1번,636.224,-993.295,472.5,0,0,-57.293
2-2번,628.687,-981.559,472.5,0,0,-57.293
2-3번,618.729,-966.053,472.5,0,0,-57.293
2-1번 센서,638.042,-797.029,434,0,0,-51.244
2-4번,576.859,-1040.176,472.5,0,0,-60.7
2-5번,576.859,-1040.176,472.5,0,0,-60.7
2-6번,562.379,-1014.371,472.5,0,0,-60.7
2-7번,548.033,-988.81,472.5,0,0,-60.7
2-2번 센서,589.321,-833.698,434,0,0,-54.667
3-1번,506.515,-1067.352,472.5,0,0,-64.203
3-2번,498.673,-1051.128,472.5,0,0,-64.203
3-3번,491.982,-1037.246,472.5,0,0,-64.202
3-1번 센서,532.922,-870.831,434,0,0,-58.457
3-4번,483.125,-1018.922,472.5,0,0,-64.202
3-5번,444.028,-1103.56,472.5,0,0,-67.675
3-6번,435.647,-1083.147,472.5,0,0,-67.675
3-7번,421.337,-1048.296,472.5,0,0,-67.676
3-2번 센서,481.487,-900.29,434,0,0,-61.784
4-1번,374.163,-1123.93,472.5,0,0,-71.179
4-2번,369.068,-1108.978,472.5,0,0,-71.179
4-3번,363.409,-1092.375,472.5,0,0,-71.179
4-1번 센서,423.042,-929.187,434,0,0,-65.444
4-4번,355.894,-1070.325,472.5,0,0,-71.179
4-5번,304.056,-1153.134,472.5,0,0,-74.821
4-6번,296.144,-1123.969,472.5,0,0,-74.823
4-7번,288.405,-1095.447,472.5,0,0,-74.824
4-2번 센서,366.899,-952.753,434,0,0,-68.861
5-1번,231.807,-1161.115,472.5,0,0,-78.302
5-2번,228.521,-1145.242,472.5,0,0,-78.302
5-3번,224.673,-1126.658,472.5,0,0,-78.302
